Sport,Year,Time,Funding,FundingAdjustedForInflation,FundingLag1,FundingLag2,FundingLag3,Gold,Silver,Bronze,MedalScore,Athletes,AvgAge,Female,Male,Events,PossibleScore,BoycottScore
Athletics,1952,-11,0,0,0,0,0,0,1,4,6,66,25.31818182,16,50,33,231,0
Athletics,1956,-10,0,0,0,0,0,1,4,2,14,55,25.09090909,11,44,33,231,0.039697543
Athletics,1960,-9,0,0,0,0,0,1,3,4,14,61,24.1147541,16,45,34,238,0
Athletics,1964,-8,0,0,0,0,0,4,8,1,33,62,24.32258065,18,44,36,252,0
Athletics,1968,-7,0,0,0,0,0,1,2,1,9,68,24.95588235,20,48,36,252,0
Athletics,1972,-6,0,0,0,0,0,1,1,2,8,70,25.61428571,25,45,38,266,0
Athletics,1976,-5,0,0,0,0,0,0,0,1,1,52,23.86538462,21,31,37,259,0.022463768
Athletics,1980,-4,0,0,0,0,0,4,2,4,24,61,24.37704918,22,39,38,266,0.290184922
Athletics,1984,-3,0,0,0,0,0,3,7,6,32,85,25.31764706,34,51,41,287,0.763648929
Athletics,1988,-2,0,0,0,0,0,0,6,2,14,102,25.34313725,45,57,42,294,0
Athletics,1992,-1,0,0,0,0,0,2,0,4,12,91,26.24175824,39,52,43,301,0
Athletics,1996,0,0,0,0,0,0,0,4,2,10,77,27.4025974,29,48,44,308,0
Athletics,2000,1,10600000,16570114.94,0,0,0,2,2,2,14,72,27.40277778,28,44,46,322,0
Athletics,2004,2,11400000,16258389.26,16570114.94,0,0,3,0,1,13,54,27.38888889,24,30,46,322,0
Athletics,2008,3,26513000,33181914.11,16258389.26,16570114.94,0,1,2,1,9,58,26.25862069,31,27,47,329,0
Athletics,2012,4,25148000,27647079.11,33181914.11,16258389.26,16570114.94,4,1,1,19,69,26.94202899,30,39,47,329,0
Athletics,2016,5,26824206,26824206,27647079.11,33181914.11,16258389.26,2,1,4,14,81,26.17283951,46,35,47,329,0.025138832
Basketball,1952,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0
Basketball,1956,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0.039697543
Basketball,1960,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0
Basketball,1964,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0
Basketball,1968,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0
Basketball,1972,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0
Basketball,1976,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0.022463768
Basketball,1980,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0.290184922
Basketball,1984,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0.763648929
Basketball,1988,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0
Basketball,1992,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0
Basketball,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0
Basketball,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0
Basketball,2004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0
Basketball,2008,3,3694000,4623165.64,0,0,0,0,0,0,0,0,0,0,0,2,14,0
